Ticker,Company,ESG Risk score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level,CDP Score,Sustainability Score,title,quote,current_price,day_range,year_range,market_cap,revenue,website,net_income,news1,news2
PWR,Quanta Services,37,12.4,15.7,9.1,2,C,47,Quanta Services Inc,PWR:NYSE,$199.24 ,$198.39 - $201.56,$123.25 - $212.82,28.93B USD,5.05B,quantaservices.com,165.90M,https://beststocks.com/decline-in-quanta-services-short-interest-ref/,-
QCOM,Qualcomm,17,4.8,4.1,7.7,4,B,60,Qualcomm Inc,QCOM:NASDAQ,$113.14 ,$112.46 - $115.19,$101.47 - $139.94,126.26B USD,8.45B,qualcomm.com,1.80B,https://www.fool.com/investing/2023/09/17/if-invested-3000-qualcomm-2021-how-much-now/,https://finance.yahoo.com/news/reasons-sell-qualcomm-qcom-121241178.html
DGX,Quest Diagnostics,21,0.1,12.7,8.2,3,C,49,Quest Diagnostics Inc,DGX:NYSE,$126.22 ,$125.96 - $127.76,$120.40 - $158.34,14.17B USD,2.34B,questdiagnostics.com,235.00M,https://www.marketbeat.com/instant-alerts/nyse-dgx-consensus-analyst-rating-2023-09-11/,-
RL,Ralph Lauren Corporation,13,1.1,6.8,5.3,2,B,45,Ralph Lauren Corp,RL:NYSE,$113.86 ,$113.26 - $115.46,$82.23 - $135.76,7.43B USD,1.50B,ralphlauren.com,132.10M,https://www.marketwatch.com/data-news/ralph-lauren-corp-cl-a-stock-underperforms-friday-when-compared-to-competitors-fe761b8a-a6e339cbb86f,https://www.businesswire.com/news/home/20230914009182/en/Ralph-Lauren-Corporation-Declares-Quarterly-Dividend
RJF,Raymond James,24,1.2,10.4,12.4,2,D-,35,Raymond James Financial Inc,RJF:NYSE,$107.67 ,$106.90 - $108.63,$82.00 - $126.00,22.49B USD,2.85B,raymondjames.com,369.00M,https://www.marketbeat.com/instant-alerts/nyse-rjf-analyst-earnings-estimates-2023-09-15/,https://www.marketbeat.com/instant-alerts/nyse-rjf-sec-filing-2023-09-15/
RTX,RTX Corporation,0,0,0,0,0,B,27,Rtx Corp,RTX:NYSE,$75.80 ,$75.08 - $76.40,$73.62 - $104.91,110.33B USD,18.32B,rtx.com,1.33B,https://www.forbes.com/sites/greatspeculations/2023/09/15/will-rtx-corp-stock-recover-to-its-pre-inflation-shock-highs-of-100/,https://www.reuters.com/business/aerospace-defense/delta-air-cuts-third-quarter-profit-forecast-rising-fuel-costs-2023-09-14/
O,Realty Income,15,4.4,5.3,5.7,2,-,18,Realty Income Corp,O:NYSE,$54.10 ,$53.98 - $54.99,$53.98 - $68.85,38.35B USD,1.02B,realtyincome.com,195.42M,https://www.fool.com/investing/2023/09/15/2-brilliant-stocks-to-buy-now-and-hold-forever/,https://www.marketwatch.com/data-news/realty-income-corp-stock-falls-friday-underperforms-market-52b21405-625fccb50f2d
REG,Regency Centers,11,3.6,2.9,4.4,0,B,31,Regency Centers Corp,REG:NASDAQ,$63.71 ,$63.45 - $64.23,$51.97 - $68.56,11.54B USD,326.12M,regencycenters.com,86.78M,https://www.nasdaq.com/articles/regency-centers-reg-up-10-in-6-months:-will-the-trend-last,-
REGN,Regeneron,18,0.4,10.8,7,2,B,47,Regeneron Pharmaceuticals Inc,REGN:NASDAQ,$823.40 ,$822.10 - $836.35,$668.00 - $847.50,89.39B USD,3.16B,regeneron.com,968.40M,https://www.marketwatch.com/data-news/regeneron-pharmaceuticals-inc-stock-outperforms-market-despite-losses-on-the-day-47b46554-9f3d75b54232,https://beststocks.com/positive-outlook-and-increased-price-target-f-37/
RF,Regions Financial Corporation,16,1.6,7,7.4,2,B,46,Regions Financial Corp,RF:NYSE,$17.96 ,$17.70 - $18.03,$13.94 - $24.33,16.85B USD,1.84B,regions.com,581.00M,https://www.marketwatch.com/data-news/regions-financial-corp-stock-falls-friday-still-outperforms-market-9979669c-4a8eaaaa1d01,https://beststocks.com/institutional-investor-increases-position-in-regio/
RSG,Republic Services,21,11.3,6,3.7,3,A-,57,Republic Services Inc,RSG:NYSE,$150.14 ,$149.84 - $151.75,$120.58 - $156.65,47.49B USD,3.73B,republicservices.com,427.40M,https://www.marketwatch.com/data-news/republic-services-inc-stock-falls-thursday-underperforms-market-16396e4b-fc44d55b4b28,https://www.investorsobserver.com/news/stock-update/republic-services-inc-rsg-stock-what-does-the-chart-say-thursday-2
RMD,ResMed,26,3.4,12.4,10.6,1,C,37,Resmed Inc,RMD:NYSE,$145.39 ,$145.00 - $148.12,$145.00 - $243.52,21.38B USD,1.12B,resmed.com,229.66M,https://seekingalpha.com/article/4635625-price-i-will-buy-resmed-stock,https://www.marketwatch.com/data-news/resmed-inc-stock-rises-thursday-outperforms-market-c349ccaa-cc720813e8a2
RVTY,Revvity,0,0,0,0,0,D,16,Revvity Inc,RVTY:NYSE,$113.44 ,$112.24 - $116.58,$105.83 - $150.17,14.08B USD,709.07M,revvity.com,35.56M,https://www.benzinga.com/pressreleases/23/09/34648283/robotic-liquid-handling-system-market-size-share-2023-to-2030-agilent-technologies-hamilton-perkine,-
RHI,Robert Half,11,0.1,7.4,3.5,1,C,32,Robert Half Inc,RHI:NYSE,$75.10 ,$74.51 - $75.51,$64.65 - $89.78,8.04B USD,1.64B,roberthalf.com,106.29M,https://www.marketwatch.com/data-news/robert-half-inc-stock-outperforms-market-on-strong-trading-day-303332ec-f1860c9c6607,https://beststocks.com/ontario-teachers-pension-plan-board-increases-stak-17/
ROK,Rockwell Automation,18,5.4,6.6,5.7,2,C,41,Rockwell Automation Inc,ROK:NYSE,$285.20 ,$284.07 - $289.06,$209.27 - $348.52,32.76B USD,2.24B,rockwellautomation.com,400.20M,-,-
ROL,Rollins,20,1.8,11.2,7.3,1,-,13,Rollins Inc,ROL:NYSE,$37.03 ,$36.90 - $37.33,$34.20 - $45.04,18.25B USD,820.75M,rollins.com,110.14M,-,-
ROP,Roper Technologies,23,4.6,12.7,5.6,0,C,29,Roper Technologies Inc,ROP:NASDAQ,$495.81 ,$493.40 - $499.86,$356.22 - $504.73,52.91B USD,1.53B,ropertech.com,364.90M,https://simplywall.st/stocks/us/software/nasdaq-rop/roper-technologies/news/roper-technologies-incs-nasdaqrop-financials-are-too-obscure,https://www.benzinga.com/news/earnings/23/09/34584514/if-you-invested-100-in-this-stock-15-years-ago-you-would-have-800-today
ROST,Ross Stores,16,1.8,8.4,5.7,2,B,46,Ross Stores Inc,ROST:NASDAQ,$118.17 ,$117.16 - $118.42,$81.21 - $122.70,40.02B USD,4.93B,rossstores.com,446.32M,https://www.marketwatch.com/data-news/ross-stores-inc-stock-outperforms-competitors-on-strong-trading-day-d1fd6bc9-f370b6316ee7,https://www.trefis.com/data/companies/SBUX/no-login-required/XZB41bIw/Better-Bet-Than-SBUX-Stock-sector-Peers
RCL,Royal Caribbean Group,21,9.1,8,3.8,3,C,49,Royal Caribbean Cruises Ltd,RCL:NYSE,$97.42 ,$96.72 - $99.44,$36.92 - $112.95,24.96B USD,3.52B,royalcaribbeangroup.com,458.76M,https://www.businessinsider.com/wonder-of-the-seas-overboard-royal-caribbean-largest-cruise-ship-2023-8,https://cruisefever.net/why-aft-view-balconies-on-a-cruise-ship-cost-more/
SPGI,S&P Global,14,0,6.2,8.1,1,A-,41,S&P Global Inc,SPGI:NYSE,$388.26 ,$387.80 - $394.70,$279.32 - $428.65,123.54B USD,3.10B,spglobal.com,511.00M,https://globalnews.ca/news/9960614/tsx-september-14-2023/,https://www.businesstoday.in/latest/corporate/story/sp-ratings-warns-of-possible-downgrade-of-vedanta-resources-report-398513-2023-09-15
CRM,Salesforce,13,2.3,6.4,4.5,2,A-,48,Salesforce Inc,CRM:NYSE,$214.61 ,$213.46 - $219.19,$126.34 - $238.22,208.82B USD,8.60B,salesforce.com,1.27B,https://finance.yahoo.com/news/salesforce-ceo-marc-benioff-hiring-113049256.html,https://www.businessinsider.com/salesforce-hire-3-000-people-brutal-job-cuts-this-year-2023-9
SBAC,SBA Communications,12,3.1,3.2,5.2,0,C,26,SBA Communications Corp,SBAC:NASDAQ,$218.15 ,$216.69 - $219.89,$210.93 - $312.97,23.64B USD,678.50M,sbasite.com,203.65M,-,-
SLB,Schlumberger,22,7.4,8.8,5.8,1,C,36,Schlumberger NV,SLB:NYSE,$60.58 ,$60.07 - $61.42,$33.80 - $62.12,86.10B USD,8.10B,slb.com,1.03B,https://www.livemint.com/money/personal-finance/exploring-the-world-of-slb-leveraged-trades-borrowed-shares-and-the-magic-of-stock-lending-and-borrowing-11694363120471.html,https://www.marketbeat.com/instant-alerts/nyse-slb-analyst-earnings-estimates-2023-09-15/
STX,Seagate Technology,11,1.6,3.8,5.3,1,A-,40,Seagate Technology Holdings PLC,STX:NASDAQ,$63.75 ,$63.63 - $64.75,$47.47 - $74.51,13.25B USD,1.60B,seagate.com,-92.00M,https://www.barrons.com/articles/13d-stock-anika-therapeutics-activist-investor-ed37a424,https://www.marketwatch.com/data-news/seagate-technology-holdings-plc-stock-rises-thursday-outperforms-market-1376785a-f56610b84d04
SEE,Sealed Air,21,15.8,1.5,3.2,2,A-,50,Sealed Air Corp,SEE:NYSE,$35.11 ,$34.89 - $35.65,$33.45 - $56.43,5.07B USD,1.38B,sealedair.com,99.10M,https://www.marketwatch.com/data-news/sealed-air-corp-stock-outperforms-market-despite-losses-on-the-day-48a0405c-450ff153fc17,-
SRE,Sempra Energy,25,12.1,7.1,5.5,3,B,56,Sempra,SRE:NYSE,$73.10 ,$73.05 - $73.86,$68.27 - $86.65,46.00B USD,3.34B,sempra.com,614.00M,https://www.marketwatch.com/data-news/sempra-stock-falls-friday-still-outperforms-market-97c3d009-653395f8dd75,https://www.investorsobserver.com/news/stock-update/is-it-time-to-dump-sempra-sre-stock-after-it-is-higher-by-3-26-in-a-week
NOW,ServiceNow,16,1.4,8.4,6.3,1,B,39,ServiceNow Inc,NOW:NYSE,$579.58 ,$576.50 - $589.30,$337.00 - $614.36,118.23B USD,2.15B,servicenow.com,1.04B,https://www.investors.com/research/growth-stock-takes-on-tech-titan-googl-in-cloud-wars-ai-push/,https://www.marketwatch.com/data-news/servicenow-inc-stock-outperforms-competitors-despite-losses-on-the-day-471eb94c-2d6970a8b354
SHW,Sherwin-Williams,29,12.9,9,6.7,2,C,45,Sherwin-Williams Co,SHW:NYSE,$261.63 ,$260.74 - $267.90,$195.24 - $283.80,67.28B USD,6.24B,sherwin-williams.com,793.70M,https://www.marketwatch.com/data-news/sherwin-williams-co-stock-falls-friday-underperforms-market-3372ca91-09129e6869a8,https://beststocks.com/dnb-asset-management-as-increases-stake-in-sherwin/
SPG,Simon Property Group,14,3.8,4,6.4,1,A-,41,Simon Property Group Inc,SPG:NYSE,$116.41 ,$116.23 - $117.35,$86.02 - $133.08,38.09B USD,1.37B,simon.com,487.18M,-,-
SWKS,Skyworks Solutions,28,11.6,8.9,7.2,1,C,38,Skyworks Solutions Inc,SWKS:NASDAQ,$98.21 ,$97.87 - $99.75,$76.16 - $123.69,15.65B USD,1.07B,skyworksinc.com,195.80M,https://www.marketwatch.com/data-news/skyworks-solutions-inc-stock-falls-friday-still-outperforms-market-dce68d92-d3f0e635d179,https://www.investorsobserver.com/news/stock-update/will-skyworks-solutions-inc-swks-beat-the-rest-of-the-stocks-in-the-technology-sector
SJM,J.M. Smucker Company (The),31,12.4,12.4,6.2,2,C,45,J M Smucker Co,SJM:NYSE,$126.83 ,$126.25 - $127.40,$126.25 - $163.07,12.95B USD,1.81B,jmsmucker.com,183.60M,https://www.cnn.com/2023/09/11/business/hostess-jm-smucker-purchase/index.html,https://www.nytimes.com/2023/09/11/business/smucker-twinkies-hostess-brands-deal.html
SNA,Snap-on,31,9.3,13.9,7.6,1,C-,36,Snap-On Inc,SNA:NYSE,$260.42 ,$260.04 - $264.23,$200.75 - $297.26,13.78B USD,1.28B,snapon.com,264.00M,https://www.marketwatch.com/data-news/snap-on-inc-stock-underperforms-friday-when-compared-to-competitors-8ff869b9-351135d1038f,-
SEDG,SolarEdge,0,0,0,0,0,-,0,Solaredge Technologies Inc,SEDG:NASDAQ,$140.29 ,$139.52 - $145.57,$139.52 - $345.80,7.93B USD,991.29M,solaredge.com,119.51M,https://investorplace.com/2023/09/the-3-most-promising-solar-stocks-to-buy-before-they-bounce-back/,https://beststocks.com/whales-unique-options-trades-indicate-bullish/
SO,Southern Company,33,14.8,11,7.3,2,A-,54,Southern Co,SO:NYSE,$71.09 ,$70.51 - $71.43,$60.71 - $78.34,77.53B USD,5.75B,southerncompany.com,838.00M,https://www.fool.com/investing/2023/09/15/why-southern-companys-dividend-is-even-more-impres/,https://www.marketwatch.com/data-news/southern-co-stock-rises-friday-outperforms-market-4163e062-0952a5395a0a
LUV,Southwest Airlines,32,11.3,14.9,6.2,2,C,46,Southwest Airlines Co,LUV:NYSE,$29.69 ,$28.81 - $29.74,$28.37 - $40.38,17.68B USD,7.04B,southwest.com,683.00M,https://finance.yahoo.com/video/airline-stocks-three-factors-impacting-222420323.html,https://www.aerotime.aero/articles/southwest-passenger-shares-clever-hack-to-ensure-no-one-sits-next-to-you
SWK,Stanley Black & Decker,26,5.8,12.5,7.6,2,A,55,Stanley Black & Decker Inc,SWK:NYSE,$87.97 ,$86.59 - $88.43,$70.24 - $104.21,13.48B USD,4.16B,stanleyblackanddecker.com,177.00M,-,-
SBUX,Starbucks,25,6.1,14.5,4.2,3,B,56,Starbucks Corp,SBUX:NASDAQ,$96.23 ,$96.05 - $97.47,$82.43 - $115.48,110.22B USD,9.17B,starbucks.com,1.14B,https://www.tipranks.com/news/starbucks-nasdaqsbux-is-this-schultzs-final-goodbye-to-the-company,https://www.aol.com/howard-schultz-former-starbucks-ceo-011458133.html
STT,State Street Corporation,22,2,11.2,9.1,2,C,42,State Street Corp,STT:NYSE,$71.85 ,$71.18 - $72.01,$58.62 - $94.74,22.89B USD,3.13B,statestreet.com,763.00M,https://www.bizjournals.com/boston/news/2023/09/14/state-street-boston-office-headquarters.html,https://www.bizjournals.com/boston/news/2023/09/14/five-things-state-street-return-to-work-wu-zoning.html
STLD,Steel Dynamics,32,9.8,14.4,8.2,1,C,39,Steel Dynamics Inc,STLD:NASDAQ,$98.71 ,$98.41 - $101.91,$69.12 - $136.46,16.35B USD,5.08B,stld.steeldynamics.com,812.11M,https://beststocks.com/steel-stocks-plunge-as-nucors-weak-earnings-p/,https://www.forbes.com/sites/greatspeculations/2023/09/14/analyzing-steel-dynamics-dividend-growth-potential/
STE,Steris,0,0,0,0,0,C,22,Steris PLC,STE:NYSE,$229.50 ,$228.52 - $231.81,$159.21 - $254.00,22.64B USD,1.28B,steris.com,123.55M,-,-
SYK,Stryker Corporation,29,3.7,14,10.8,3,B,57,Stryker Corp,SYK:NYSE,$292.77 ,$292.64 - $297.00,$200.80 - $306.93,111.19B USD,5.00B,stryker.com,738.00M,https://beststocks.com/harvest-fund-management-co-ltd-increases-stake-in-4/,https://beststocks.com/confluence-investment-management-llc-reports-reduc/
SYF,Synchrony Financial,17,0.1,9.9,7.2,2,-,19,Synchrony Financial,SYF:NYSE,$32.52 ,$32.00 - $32.80,$26.59 - $40.89,13.60B USD,1.91B,synchrony.com,569.00M,https://www.stamfordadvocate.com/opinion/article/opinion-building-happier-workplace-18361422.php,-
SNPS,Synopsys,13,3.2,6.2,4.1,0,B,32,Synopsys Inc,SNPS:NASDAQ,$451.93 ,$447.98 - $467.50,$267.00 - $471.15,68.73B USD,1.49B,synopsys.com,336.25M,https://www.marketwatch.com/data-news/synopsys-inc-stock-underperforms-thursday-when-compared-to-competitors-b07b32a5-5d93fbcbb4c7,https://finance.yahoo.com/news/synopsys-snps-9-9-since-153008209.html
SYY,Sysco,12,2.8,4.7,4.6,2,A-,47,Sysco Corp,SYY:NYSE,$71.02 ,$70.96 - $71.65,$68.18 - $87.41,35.86B USD,19.73B,sysco.com,733.74M,https://www.marketwatch.com/data-news/sysco-corp-stock-rises-thursday-outperforms-market-7277eb20-23d3c088977f,https://investorplace.com/2023/08/7-stocks-to-buy-ahead-of-a-2024-recession/
TMUS,T-Mobile US,26,5,13.4,7.7,3,A-,59,T-Mobile Us Inc,TMUS:NASDAQ,$141.93 ,$141.45 - $144.93,$124.92 - $154.38,166.97B USD,19.20B,t-mobile.com,2.22B,https://www.reuters.com/business/media-telecom/t-mobile-announces-shareholder-return-program-up-19-bln-2023-09-06/,https://www.cnn.com/2023/08/24/tech/tmobile-layoffs-5000-employees/index.html
TROW,T. Rowe Price,17,2.4,9.3,5.4,1,B,40,T Rowe Price Group Inc,TROW:NASDAQ,$109.63 ,$109.16 - $110.24,$93.53 - $134.64,24.59B USD,1.61B,troweprice.com,476.40M,https://www.prnewswire.com/news-releases/databricks-raises-series-i-investment-at-43b-valuation-301927440.html,https://fortune.com/2023/09/14/databricks-ipo-funding-a16z-nvidia-investors/
TTWO,Take-Two Interactive,0,0,0,0,0,C,22,"TAKE-TWO INTERACTIVE SOFTWARE, INC Common Stock",TTWO:NASDAQ,$142.91 ,$142.23 - $144.42,$90.00 - $153.84,24.27B USD,1.28B,take2games.com,-206.00M,https://investorplace.com/2023/09/3-meme-stocks-that-could-actually-rebound-in-q4/,https://gamerant.com/grand-theft-auto-5-gta-6-features-cut/
TPR,Tapestry,13,1.2,7.2,4.9,2,A-,48,Tapestry Inc,TPR:NYSE,$30.99 ,$30.75 - $31.23,$27.53 - $47.48,7.05B USD,1.62B,tapestry.com,224.10M,https://www.investing.com/news/stock-market-news/tapestry-stock-price-dips-analysts-project-growth-for-next-fiscal-year-93CH-3174670,https://www.capriholdings.com/news-releases/news-releases-details/2023/Tapestry-Inc.-Announces-Definitive-Agreement-to-Acquire-Capri-Holdings-Limited-Establishing-a-Powerful-Global-House-of-Iconic-Luxury-and-Fashion-Brands/default.aspx
TRGP,Targa Resources,34,15.3,14.5,4.1,2,-,24,Targa Resources Corp,TRGP:NYSE,$84.66 ,$84.30 - $86.02,$57.23 - $87.86,18.94B USD,3.40B,targaresources.com,329.30M,https://www.marketbeat.com/instant-alerts/nyse-trgp-sec-filing-2023-09-17/,-
TGT,Target Corporation,15,2,7.6,5.1,3,A-,55,Target Corp,TGT:NYSE,$123.05 ,$122.72 - $125.10,$120.75 - $181.70,56.80B USD,24.77B,corporate.target.com,835.00M,https://www.fool.com/investing/2023/09/14/3-predictions-for-target-stock/,https://investorplace.com/2023/09/the-3-most-undervalued-retail-stocks-to-buy-in-september-2023/
TEL,TE Connectivity,16,6.4,4.9,4.6,0,C,27,TE Connectivity Ltd,TEL:NYSE,$126.68 ,$126.14 - $129.22,$104.76 - $146.60,39.77B USD,4.00B,te.com,528.00M,https://www.marketwatch.com/data-news/te-connectivity-ltd-stock-rises-thursday-still-underperforms-market-6c0877ff-453aed67da28,https://www.digitaljournal.com/pr/news/prwirecenter/single-pair-ethernet-market-share-growth-and-regional-analysis-top-key-players-are-hirose-softing-belden-te-connectivity-harting-leoni-etc-2023-2031
TDY,Teledyne Technologies,0,0,0,0,0,-,0,Teledyne Technologies Inc,TDY:NYSE,$415.04 ,$412.82 - $420.00,$325.00 - $448.71,19.54B USD,1.42B,teledyne.com,185.30M,https://beststocks.com/insider-selling-and-new-stake-by-skyview-investmen/,https://beststocks.com/kb-financial-partners-llc-acquires-new-position-in-2/
TFX,Teleflex,30,4.8,16.1,8.7,2,-,23,Teleflex Inc,TFX:NYSE,$213.45 ,$213.30 - $216.39,$182.65 - $276.43,10.03B USD,743.26M,teleflex.com,111.34M,https://www.marketwatch.com/data-news/teleflex-inc-stock-rises-thursday-still-underperforms-market-26baef1-57bc7eec6ae8,https://beststocks.com/teleflex-receives-downgrade-from-stocknews-com-a/
TER,Teradyne,16,6.3,4.9,4.6,0,C,27,Teradyne Inc,TER:NASDAQ,$95.49 ,$94.89 - $97.35,$67.81 - $119.20,14.71B USD,684.44M,teradyne.com,120.05M,https://www.investorsobserver.com/news/stock-update/will-teradyne-inc-ter-outperform-the-rest-of-the-stocks-in-the-technology-sector,https://beststocks.com/ameriprise-financial-inc-reduces-stake-in-teradyn/
TSLA,Tesla,29,2.8,16.2,9.6,3,-,29,Tesla Inc,TSLA:NASDAQ,$274.39 ,$271.00 - $278.98,$101.81 - $313.80,859.79B USD,24.93B,tesla.com,2.70B,https://www.fool.co.uk/2023/09/14/if-id-put-5k-in-tesla-shares-10-years-ago-heres-how-much-id-have-now/,https://www.investors.com/news/cathie-wood-decides-to-sell-more-tesla-stock-after-taking-month-off/
TXN,Texas Instruments,20,8.8,5.1,6,2,C,42,Texas Instruments Inc,TXN:NASDAQ,$162.62 ,$162.43 - $166.50,$145.97 - $188.12,147.65B USD,4.53B,ti.com,1.72B,https://www.marketwatch.com/data-news/texas-instruments-inc-stock-falls-friday-underperforms-market-420d6e87-01fa97df0af6,https://beststocks.com/symmetry-partners-llc-trims-stake-in-texas-instrum/
TXT,Textron,34,11.1,16.2,6.5,2,B,52,Textron Inc,TXT:NYSE,$76.21 ,$75.55 - $76.61,$58.03 - $80.10,15.09B USD,3.42B,textron.com,263.00M,https://www.trefis.com/stock/txt/articles/551382/should-you-pick-howmet-over-textron-stock/2023-09-15,-
TMO,Thermo Fisher Scientific,14,1.5,5.6,6.5,3,B,52,Thermo Fisher Scientific Inc,TMO:NYSE,$515.53 ,$509.31 - $534.19,$475.77 - $609.85,198.97B USD,10.69B,thermofisher.com,1.36B,https://beststocks.com/swedish-life-insurance-company-reduces-stake-in-th/,https://beststocks.com/putnam-investments-llc-increases-stake-in-thermo-f/
TJX,TJX Companies,14,1.9,7.4,5.1,2,B,45,TJX Companies Inc,TJX:NYSE,$92.44 ,$92.33 - $93.40,$59.78 - $93.78,105.76B USD,12.76B,tjx.com,989.00M,https://www.marketwatch.com/data-news/tjx-cos-stock-rises-thursday-still-underperforms-market-479e0715-3ce2711f6c85,https://www.investors.com/ibd-data-stories/stocks-with-rising-composite-ratings-tjx-cos/
TSCO,Tractor Supply,14,3,6.8,4.1,2,D,34,Tractor Supply Co,TSCO:NASDAQ,$212.84 ,$212.25 - $214.82,$181.40 - $251.17,23.16B USD,4.18B,tractorsupply.com,421.23M,https://investorplace.com/2023/08/late-summer-steals-7-stocks-to-buy-before-fall/,https://www.businessinsider.in/retail/news/how-tractor-supply-managed-to-shrink-theft-rates-when-theyre-surging-almost-everywhere-else/articleshow/103478988.cms
TT,Trane Technologies,16,7.1,3.8,5.2,2,B,46,Trane Technologies PLC,TT:NYSE,$202.49 ,$200.89 - $204.62,$139.07 - $211.58,46.25B USD,4.70B,tranetechnologies.com,586.20M,https://beststocks.com/hightower-advisors-llc-decreases-stake-in-trane-te/,-
TDG,TransDigm Group,39,12.8,17.9,8.4,2,-,26,TransDigm Group Inc,TDG:NYSE,$864.70 ,$863.04 - $876.06,$499.63 - $940.00,47.72B USD,1.74B,transdigm.com,351.00M,-,-
TRV,Travelers Companies (The),21,1,9.4,10.1,1,-,13,Travelers Companies Inc,TRV:NYSE,$164.80 ,$164.20 - $166.00,$149.65 - $194.51,37.73B USD,10.10B,travelers.com,-14.00M,https://www.marketwatch.com/data-news/travelers-cos-inc-stock-falls-friday-still-outperforms-market-70e931cb-ea0255be70fc,https://www.forbes.com/sites/greatspeculations/2023/09/15/travelers-stock-is-undervalued/
TRMB,Trimble Inc.,13,3.2,3.7,6.1,0,B,32,Trimble Inc,TRMB:NASDAQ,$51.34 ,$51.16 - $51.66,$45.43 - $62.40,12.75B USD,993.60M,trimble.com,44.60M,https://www.investorsobserver.com/news/stock-update/trimble-inc-trmb-stock-do-analysts-think-you-should-sell-2,https://www.digitaljournal.com/pr/news/xherald/trending-report-on-commercial-telematics-market-2023-2029-business-outlook-critical-insight-and-growth-strategy-mix-telematics-navistar-inc-trimble-inc-verizon-communications-inc-vontier-corporation
TFC,Truist,0,0,0,0,0,B,27,Truist Financial Corp,TFC:NYSE,$29.00 ,$28.44 - $29.12,$25.56 - $51.26,38.63B USD,5.38B,truist.com,1.31B,https://www.bizjournals.com/triad/news/2023/09/15/truist-charlotte-triad.html,https://finance.yahoo.com/news/market-concerns-dragged-truist-financial-123859339.html
TYL,Tyler Technologies,0,0,0,0,0,-,0,Tyler Technologies Inc,TYL:NYSE,$375.38 ,$374.32 - $381.55,$281.11 - $426.83,15.80B USD,504.28M,tylertech.com,49.13M,https://www.investorsobserver.com/news/stock-update/tyler-technologies-inc-tyl-stock-what-does-the-chart-say-friday,https://beststocks.com/abacus-wealth-partners-expands-stake-in-tyler-tech/
TSN,Tyson Foods,37,14.3,12.4,10,4,B,66,Tyson Foods Inc,TSN:NYSE,$54.54 ,$53.75 - $55.31,$47.11 - $74.07,19.39B USD,13.14B,tysonfoods.com,-417.00M,https://www.reuters.com/markets/commodities/tyson-foods-plans-sell-china-poultry-business-sources-2023-08-17/,https://talkbusiness.net/2023/09/tyson-foods-parts-ways-with-another-chief-technology-officer/
USB,U.S. Bank,30,1.7,15.9,12.5,3,A-,60,US Bancorp,USB:NYSE,$35.15 ,$34.92 - $35.71,$27.27 - $49.95,54.73B USD,6.32B,usbank.com,1.36B,https://www.fool.com/investing/2023/08/08/heres-why-us-bancorp-keycorp-and-truist-financial/,https://www.cnn.com/2023/08/21/business/sp-us-bank-downgrades/index.html
UDR,UDR,12,3.2,4,5.2,1,-,10,UDR Inc,UDR:NYSE,$38.23 ,$38.02 - $38.57,$37.18 - $45.46,12.60B USD,414.24M,udr.com,347.54M,https://www.businesswire.com/news/home/20230914473117/en/UDR-Declares-Quarterly-Dividends,-
ULTA,Ulta Beauty,15,3.8,7.2,4.3,2,C,40,Ulta Beauty Inc,ULTA:NASDAQ,$413.57 ,$411.20 - $418.88,$373.80 - $556.60,20.36B USD,2.53B,ulta.com,300.10M,https://beststocks.com/ulta-beauty-reports-strong-quarterly-earnings-mai/,https://www.marketbeat.com/instant-alerts/nasdaq-ulta-analyst-earnings-estimates-2023-09-08/
UNP,Union Pacific Corporation,25,9.4,12.1,3.7,2,B,49,Union Pacific Corp,UNP:NYSE,$213.32 ,$212.19 - $214.21,$183.69 - $240.48,130.01B USD,5.96B,up.com,1.57B,https://www.marketwatch.com/data-news/union-pacific-corp-stock-falls-friday-still-outperforms-market-27d4dd47-215bc2ed0d91,https://www.investorsobserver.com/news/stock-update/can-union-pacific-corp-unp-stock-rise-to-the-top-of-industrials-sector-friday
UAL,United Airlines Holdings,29,10.9,12.9,5,2,B,50,United Airlines Holdings Inc,UAL:NASDAQ,$45.70 ,$45.19 - $46.45,$31.58 - $58.23,14.99B USD,14.18B,united.com,1.08B,https://www.marketwatch.com/data-news/united-airlines-holdings-inc-stock-rises-friday-outperforms-market-3f1bb39b-f7834db6b0e2,https://www.marketwatch.com/data-news/united-airlines-holdings-inc-stock-underperforms-thursday-when-compared-to-competitors-481c830d-49f2394ab86a
UPS,United Parcel Service,20,4.6,9.6,5.4,2,C,42,"United Parcel Service, Inc.",UPS:NYSE,$160.49 ,$159.65 - $161.47,$154.87 - $197.80,137.13B USD,22.06B,ups.com,2.08B,https://finance.yahoo.com/news/ups-ups-down-9-5-153100904.html,https://seekingalpha.com/article/4633278-ups-stock-good-business-but-no-margin-of-safety
URI,United Rentals,18,5.9,6.6,6,1,B-,37,"United Rentals, Inc.",URI:NYSE,$452.01 ,$446.58 - $454.84,$256.23 - $492.33,30.86B USD,3.55B,unitedrentals.com,591.00M,https://www.marketwatch.com/data-news/united-rentals-inc-stock-underperforms-thursday-when-compared-to-competitors-despite-daily-gains-99a01856-2c18dc0eb518,https://beststocks.com/amf-tjanstepension-ab-decreases-stake-in-united-re/
