Ticker,Company,ESG Risk score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level,CDP Score,Sustainability Score,title,quote,current_price,day_range,year_range,market_cap,revenue,website,net_income,news1,news2
NTRS,Northern Trust,24,1.9,11.8,10.2,2,B,49,Northern Trust Corp,NTRS:NASDAQ,$72.72 ,$72.49 - $73.70,$69.54 - $100.25,15.05B USD,1.77B,northerntrust.com,331.80M,https://www.marketwatch.com/data-news/northern-trust-corp-stock-rises-thursday-outperforms-market-9d156896-721c9c43529c,https://www.investorsobserver.com/news/stock-update/northern-trust-corp-ntrs-stock-what-does-the-chart-say-thursday
NOC,Northrop Grumman,27,7.5,14.9,5.1,2,B,50,Northrop Grumman Corp,NOC:NYSE,$433.49 ,$431.47 - $435.74,$416.71 - $556.27,65.59B USD,9.58B,northropgrumman.com,812.00M,https://beststocks.com/northrop-grumman-anticipates-international-ex/,https://beststocks.com/northrop-grumman-ceo-assures-investors-of-rea/
NCLH,Norwegian Cruise Line Holdings,26,12,10.1,4.1,2,B,49,Norwegian Cruise Line Holdings Ltd,NCLH:NYSE,$17.23 ,$17.04 - $17.45,$10.83 - $22.75,7.33B USD,2.21B,nclhltd.com,86.12M,https://www.fool.com/investing/2023/09/09/why-norwegian-cruise-lines-plunged-25-in-august/,-
NRG,NRG Energy,32,17.1,9.4,5.7,2,B,51,NRG Energy Inc,NRG:NYSE,$39.10 ,$38.98 - $39.36,$30.25 - $45.80,8.96B USD,6.35B,nrg.com,308.00M,-,-
NUE,Nucor,32,9.7,13.3,8.9,2,-,24,Nucor Corporation,NUE:NYSE,$155.42 ,$154.90 - $162.74,$102.86 - $182.68,38.66B USD,9.52B,nucor.com,1.46B,https://www.barrons.com/articles/nucor-stock-weak-guidance-steel-maker-b777ddec,https://www.schaeffersresearch.com/content/news/2023/09/15/slashed-forecast-sends-steel-stock-lower
NVDA,Nvidia,13,2.3,5.2,6,2,B,45,NVIDIA Corp,NVDA:NASDAQ,$439.00 ,$438.08 - $455.99,$108.13 - $502.66,1.08T USD,13.51B,nvidia.com,6.19B,https://www.fool.com/investing/2023/09/16/is-it-too-late-to-buy-nvidia-stock/,-
NVR,NVR,20,7.2,7.8,5.3,1,-,13,NVR Inc,NVR:NYSE,"$6,076.59 ","$5,993.79 - $6,200.00","$3,816.56 - $6,525.00",19.84B USD,2.38B,nvrinc.com,404.03M,-,-
NXPI,NXP Semiconductors,22,8.7,7.4,5.6,1,D,30,NXP Semiconductors NV,NXPI:NASDAQ,$197.38 ,$196.34 - $202.39,$132.08 - $225.57,50.88B USD,3.30B,nxp.com,698.00M,https://www.bizjournals.com/austin/news/2023/09/15/nxp-chapter-380-tax-rebate-childcare-update.html,https://beststocks.com/exceptional-growth-nxp-semiconductors-remarka/
ORLY,O'Reilly Auto Parts,13,0.2,8.9,4,1,-,11,O'Reilly Automotive Inc,ORLY:NASDAQ,$930.21 ,$928.65 - $941.34,$680.00 - $975.72,56.05B USD,4.07B,oreillyauto.com,627.36M,-,-
OXY,Occidental Petroleum,43,24.6,12,6.6,2,D,44,Occidental Petroleum Corp,OXY:NYSE,$66.15 ,$65.98 - $67.20,$55.51 - $76.11,58.52B USD,6.70B,oxy.com,860.00M,https://oilprice.com/Energy/Energy-General/A-Look-At-Warren-Buffetts-Favorite-Oil-Stock.html,https://www.marketwatch.com/data-news/occidental-petroleum-corp-stock-falls-friday-underperforms-market-fd8eed08-ca3def861766
ODFL,Old Dominion,0,0,0,0,0,C,22,Old Dominion Freight Line Inc,ODFL:NASDAQ,$409.60 ,$400.05 - $409.95,$240.00 - $438.05,44.76B USD,1.41B,odfl.com,292.36M,https://beststocks.com/amf-tjanstepension-ab-acquires-position-in-old-dom/,https://beststocks.com/harvest-volatility-management-llc-reduces-stake-in-6/
OMC,Omnicom Group,16,0.1,9.3,6.9,1,D,28,Omnicom Group Inc.,OMC:NYSE,$77.41 ,$77.12 - $78.74,$61.85 - $99.23,15.29B USD,3.61B,omnicomgroup.com,366.30M,https://www.marketbeat.com/instant-alerts/nyse-omc-sec-filing-2023-09-17/,https://www.marketbeat.com/instant-alerts/nyse-omc-sec-filing-2023-09-15/
ON,ON Semiconductor,27,14.8,6.4,5.4,1,C,37,ON Semiconductor Corp,ON:NASDAQ,$93.10 ,$92.27 - $95.87,$54.93 - $111.35,40.18B USD,2.09B,onsemi.com,576.60M,https://beststocks.com/ameriprise-financial-inc-decreases-position-in-on/,https://beststocks.com/options-trading-activity-and-market-performan/
OKE,ONEOK,26,11.8,11,3.3,1,C,37,"ONEOK, Inc.",OKE:NYSE,$67.54 ,$67.42 - $68.73,$50.50 - $71.57,30.24B USD,3.73B,oneok.com,468.00M,https://www.investors.com/research/options/oke-stock-today-how-to-profit-from-a-long-calendar-call-spread-wheel-in-oneok-stock/,https://finance.yahoo.com/news/oneok-inc-oke-dips-more-220016747.html
ORCL,Oracle Corporation,14,0.5,7.7,5.7,2,B,45,Oracle Corp,ORCL:NYSE,$113.91 ,$112.50 - $115.20,$60.78 - $127.54,312.09B USD,13.84B,oracle.com,3.32B,https://www.marketwatch.com/data-news/oracle-corp-stock-outperforms-market-on-strong-trading-day-e4ab396-a7a9bbcc2327,https://www.fool.com/investing/2023/09/15/oracle-stock-fails-nvidia-boost-time-buy-dip/
OGN,Organon & Co.,0,0,0,0,0,-,0,Organon & Co,OGN:NYSE,$19.54 ,$19.43 - $19.77,$18.87 - $32.43,4.99B USD,1.61B,organon.com,242.00M,https://www.bloomberg.com/news/articles/2023-09-17/wall-street-is-coming-to-grips-with-how-wrong-it-s-been-in-2023,https://www.fool.com/investing/2023/09/17/2024-nasdaq-100-technology-soar-next-year-history/
